fecha,apertura,maximo,minimo,cierre,volumen,timestamp
1/2/2020,858.04999,870,829.15,837.84998,140122,1577934000
1/3/2020,850.04999,863.75,822.8,841.59998,116788,1578020400
1/6/2020,846,862,827,860.79999,73499,1578279600
1/7/2020,863,870,826.05,837.90002,99362,1578366000
1/8/2020,838.5,846,821,843.29999,89468,1578452400
1/9/2020,855,859,839.85,853.95001,141189,1578538800
1/10/2020,856,864.85,850,858.04999,95609,1578625200
1/13/2020,860.04999,863,840.9,852.65002,153746,1578884400
1/14/2020,853.04999,862.5,838.4,852.84998,90502,1578970800
1/15/2020,855,860,834,855.79999,141801,1579057200
1/16/2020,859.79999,864.8,851,860.20001,67536,1579143600
1/17/2020,859.79999,859.8,820.05,829.79999,114796,1579230000
1/20/2020,829,853.7,829,853.25,39458,1579489200
1/21/2020,854.90002,854.9,810,810.20001,183498,1579575600
1/22/2020,809.90002,826,802,825.45001,137761,1579662000
1/23/2020,829.95001,830.95,805.5,810.20001,98224,1579748400
1/24/2020,811.09998,820,794,796.40002,117347,1579834800
1/27/2020,789.95001,796,772,794.25,100024,1580094000
1/28/2020,807,815,789.95,795.54999,89314,1580180400
1/29/2020,803,817.85,797.5,798.40002,60158,1580266800
1/30/2020,799,813.35,790.05,806.09998,73552,1580353200
1/31/2020,806.5,816,784.5,787.20001,71751,1580439600
2/3/2020,795,817,790.05,815.65002,57242,1580698800
2/4/2020,816,845.2,802.8,812.95001,148663,1580785200
2/5/2020,820.04999,839,820.05,825.95001,98869,1580871600
2/6/2020,826,835,819,828.90002,85472,1580958000
2/7/2020,830,835.95,810,818.5,99527,1581044400
2/10/2020,820,828.9,810.1,826.20001,36397,1581303600
2/11/2020,826.20001,829,786,795.20001,95590,1581390000
2/12/2020,798,819,780.4,789.40002,55741,1581476400
2/13/2020,789.95001,789.95,746.5,766.59998,93759,1581562800
2/14/2020,772,783.5,760,776.54999,127557,1581649200
2/17/2020,776.79999,790,770.05,785.20001,10386,1581908400
2/18/2020,786.5,786.5,765,769.65002,41542,1581994800
2/19/2020,770,789,770,773.75,66016,1582081200
2/20/2020,774.29999,794,774.3,784.15002,84878,1582167600
2/21/2020,785,788.5,761.55,767.5,85985,1582254000
2/26/2020,700,716.85,695,701.54999,262296,1582686000
2/27/2020,700,700,663,679.20001,159094,1582772400
2/28/2020,677.5,677.5,638.05,659.25,323503,1582858800
3/2/2020,670,688,640,664.90002,303026,1583118000
3/3/2020,684.95001,689.95,658,666.15002,256709,1583204400
3/4/2020,667.04999,681,660,669.09998,133012,1583290800
3/5/2020,670,678,631,637.84998,366040,1583377200
3/6/2020,634.95001,634.95,601.5,604.04999,312143,1583463600
3/9/2020,522,528.7,455,459.95001,924600,1583722800
3/10/2020,505,550,484.1,517.09998,711128,1583809200
3/11/2020,491,494.9,466,479,327756,1583895600
3/12/2020,434,435,408,419.70001,428585,1583982000
3/13/2020,422,438.95,386,404.35001,641433,1584068400
3/16/2020,346.95001,376,318,353,530690,1584327600
3/17/2020,365,365,305.7,318.29999,759626,1584414000
3/18/2020,298.95001,304.5,218.65,235.60001,1301257,1584500400
3/19/2020,257.10001,286,257.1,282.79999,859303,1584586800
3/20/2020,288,350,282.8,319.10001,719649,1584673200
3/25/2020,351,385,351,377.89999,582535,1585105200
3/26/2020,396,409.95,349,356.14999,561150,1585191600
3/27/2020,338,350,325,340.79999,247166,1585278000
3/30/2020,345,348,324.85,345.5,208953,1585537200
4/1/2020,346,368,343,366,339203,1585710000
4/2/2020,372,398,364,383,568646,1585796400
4/3/2020,390,400,373.1,388.35001,416417,1585882800
4/6/2020,390.10001,399.95,383,391.79999,276383,1586142000
4/7/2020,400.5,407,367,378.45001,452983,1586228400
4/8/2020,380.54999,406.2,380,404.10001,312436,1586314800
4/13/2020,400,408,385,406.10001,361999,1586746800
4/14/2020,415,444.65,415,432.54999,465024,1586833200
